yourlist:M202109285BF3C56A578D7D6DFD1FC81EE5DA773020E3889	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q61164	Q61164	CTCF_MOUSE	reviewed	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	Ctcf	Mus musculus (Mouse)	736
Q7M6Y2	Q7M6Y2	SOX11_MOUSE	reviewed	Transcription factor SOX-11	Sox11 Sox-11	Mus musculus (Mouse)	395
P20263	P20263	PO5F1_MOUSE	reviewed	POU domain, class 5, transcription factor 1 (NF-A3) (Octamer-binding protein 3) (Oct-3) (Octamer-binding protein 4) (Oct-4) (Octamer-binding transcription factor 3) (OTF-3)	Pou5f1 Oct-3 Oct-4 Otf-3 Otf3	Mus musculus (Mouse)	352
P48432	P48432	SOX2_MOUSE	reviewed	Transcription factor SOX-2	Sox2 Sox-2	Mus musculus (Mouse)	319
Q80Z64	Q80Z64	NANOG_MOUSE	reviewed	Homeobox protein NANOG (ES cell-associated protein 4) (Early embryo specific expression NK-type homeobox protein) (Homeobox transcription factor Nanog)	Nanog Ecat4 Enk	Mus musculus (Mouse)	305
Q9Z1J1	Q9Z1J1	TF7L1_MOUSE	reviewed	Transcription factor 7-like 1 (HMG box transcription factor 3) (TCF-3) (mTCF-3)	Tcf7l1 Tcf3	Mus musculus (Mouse)	584
P22091	P22091	TAL1_MOUSE	reviewed	T-cell acute lymphocytic leukemia protein 1 homolog (TAL-1) (Stem cell protein)	Tal1 Scl Tal-1	Mus musculus (Mouse)	329
Q04207	Q04207	TF65_MOUSE	reviewed	Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	Rela Nfkb3	Mus musculus (Mouse)	549
P41183	P41183	BCL6_MOUSE	reviewed	B-cell lymphoma 6 protein homolog	Bcl6 Bcl-6	Mus musculus (Mouse)	707
P37238	P37238	PPARG_MOUSE	reviewed	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	Pparg Nr1c3	Mus musculus (Mouse)	505
P28033	P28033	CEBPB_MOUSE	reviewed	CCAAT/enhancer-binding protein beta (C/EBP beta) (AGP/EBP) (Interleukin-6-dependent-binding protein) (IL-6DBP) (Liver-enriched transcriptional activator) (LAP)	Cebpb	Mus musculus (Mouse)	296
P06537	P06537	GCR_MOUSE	reviewed	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	Nr3c1 Grl Grl1	Mus musculus (Mouse)	783
P52633	P52633	STAT6_MOUSE	reviewed	Signal transducer and transcription activator 6	Stat6	Mus musculus (Mouse)	837
